Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language,Spanish Language,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
98012,67427.0,35.4,109161.0,46332.0,4.739940973200647,1.666988001839026,502000.0,1996,2403.0,1806.0,6.49179037336932,70.06860098965362,,,8.754653180476664,21.046465065923147,0.459756477375532,,,65.59835080902309,2.3610719741349904,7.562252510122058,23.122784641167485,San Leandro,Alameda County,37.71,-122.16,17714,CA
98014,6773.0,47.5,112384.0,57197.0,2.849549682563118,2.126088882326886,556500.0,1987,2363.0,1536.0,2.411533420707733,78.89908256880734,5165.0,105250.0,10.14321570943452,20.83271814557803,0.6496382695998819,,,94.67001328805551,0.9892219105270929,7.278901520744131,1.2549830208179535,San Leandro,Alameda County,37.71,-122.13,14808,CA
98019,11946.0,37.9,139831.0,55588.0,2.7708019420726604,1.7662816005357442,500000.0,1994,2623.0,2060.0,2.964719833975689,77.80907204269197,13370.0,187625.0,8.931860036832413,23.748535074501927,1.1217143813828896,,,90.23103967855349,1.1217143813828896,6.604721245605224,3.2060940900719905,San Leandro,Alameda County,37.69,-122.15,7019,CA
98020,19447.0,48.5,95141.0,57868.0,4.262868308736566,1.4089576798477914,611200.0,1974,2510.0,1601.0,6.026127265065318,75.51622418879056,35515.0,193805.0,9.420476165989612,25.99372653879776,0.2828199722322209,,,84.08494883529593,0.7764693783102792,6.993366586105826,7.415025453797501,San Lorenzo,Alameda County,37.68,-122.14,8958,CA
98021,31496.0,37.6,123479.0,50219.0,5.610236220472441,1.7494284988569977,557300.0,1991,2651.0,1917.0,8.860272919469537,70.76686527003652,76785.0,338265.0,8.623317246634493,21.90436880873762,0.3841757683515367,,,66.0242570485141,2.1653543307086616,5.775336550673101,23.90462280924562,San Ramon,Contra Costa County,37.76,-121.92,13345,CA
98022,21217.0,44.0,76929.0,39977.0,9.153037658481406,2.3141820238488005,364700.0,1978,2031.0,1194.0,1.3393284224624509,77.94891418731464,,,18.277796106895416,12.447565631333363,0.6080030164490738,,,89.24447377103266,0.1272564453032945,10.402036103124852,1.3385492765235425,San Ramon,Contra Costa County,37.77,-121.99,13282,CA
98023,50201.0,36.6,79434.0,34126.0,8.350431266309435,3.027828130913727,346800.0,1982,1925.0,1498.0,8.129296827885659,72.30330076790094,129905.0,604465.0,13.82044182386805,13.1949562757714,0.6772773450728073,,,56.18812374255493,11.9858170155973,14.1072886994283,13.220852174259475,Suisun City,Solano County,38.2,-121.9,9511,CA
98024,6890.0,42.9,141475.0,53615.0,2.9608127721335267,2.0174165457184325,713100.0,1987,2939.0,1532.0,4.391100702576113,68.29625292740047,,,9.404934687953556,21.23367198838897,0.3047895500725689,,,83.09143686502178,0.6531204644412192,9.65166908563135,6.25544267053701,Sunol,Alameda County,37.6,-121.9,398,CA
98026,37995.0,42.7,94385.0,48706.0,4.608501118568233,2.192393736017897,477300.0,1975,2273.0,1460.0,9.10242666406783,70.76308352012474,103940.0,427740.0,11.364653243847874,20.9343334649296,0.5079615738913015,,,78.18133964995394,2.1371233056981183,7.308856428477431,9.569680221081722,Union City,Alameda County,37.6,-122.0,21258,CA
98027,30989.0,40.8,113047.0,55418.0,7.512343089483365,1.965213462841653,661300.0,1987,2797.0,1800.0,7.244422652610934,67.51654817357195,,,7.93830068734067,25.97695956629772,0.6066668817967666,,,78.31811287876343,0.9487237406821776,8.719222950079061,13.256316757559134,Pleasanton,Alameda County,37.7,-121.9,11263,CA
98028,22738.0,39.2,110058.0,53255.0,5.44463013457648,2.027443046881872,573700.0,1982,2578.0,1433.0,11.751608114794657,67.61504205838693,,,8.347260093235993,25.2396868677984,0.3650277069223326,,,77.68493271176006,1.2226229219808251,7.58202128595303,12.987070102911426,Vallejo,Solano County,38.14,-122.25,9973,CA
98029,29250.0,36.9,129185.0,60666.0,5.076923076923077,2.276923076923077,660300.0,2000,2846.0,2279.0,13.406608318067711,60.58077210122804,,,4.67008547008547,28.164102564102564,0.3452991452991453,,,56.72478632478632,3.217094017094017,5.982905982905983,31.48034188034188,Vallejo,Solano County,38.1,-122.25,15729,CA
98030,38681.0,33.4,64666.0,27394.0,19.71510560740415,3.089372043121946,349800.0,1985,1940.0,1367.0,10.615664443587058,66.25695860662515,118280.0,351875.0,15.539929164189136,10.617615883767224,2.8308471859569297,,,43.597631912308366,16.271554509966133,14.575631446963625,21.467904138982963,Vallejo,Solano County,38.12,-122.2,19644,CA
98031,37850.0,35.6,83324.0,32681.0,11.701453104359311,2.9009247027741085,355400.0,1983,2131.0,1396.0,6.444023934946044,72.72029867539509,70590.0,441380.0,13.088507265521796,13.57463672391017,1.7833553500660502,,,45.20475561426685,9.204755614266842,13.394980184940556,28.5442536327609,Vallejo,Solano County,38.1,-122.27,319,CA
98032,39074.0,32.3,63562.0,30141.0,11.639453344935252,3.201617443824538,299700.0,1984,1899.0,1365.0,9.92723757187198,70.37602401668957,101675.0,376375.0,16.42268516148846,10.915186569074065,1.2309975943082356,,,46.156011670164304,14.175666683728313,23.348006346931463,11.127604033372576,Walnut Creek,Contra Costa County,37.87,-122.07,10261,CA
98033,39939.0,38.2,133744.0,76475.0,5.368186484388692,1.6074513633290768,836300.0,1985,3027.0,1949.0,8.726137700171899,68.78675472722338,88105.0,344445.0,5.122812288740329,29.48496457097073,0.3730689301184306,,,77.03497834197151,0.5283056661408648,6.136858709532036,15.280803224918,Walnut Creek,Contra Costa County,37.89,-122.04,10198,CA
