City,Population,House Value,Household Income,Poverty Rate,Unemployment Rate,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,College Rate,White Population Rate,Uneducated Rate
Los Angeles,37965.0,1504000.0,80539.0,10.504411958382722,3.3873304359278285,4001.0,2265.0,4.159887427993492,72.19119651730355,32.469379691821416,67.90464901883314,0.2871065455024364
Los Angeles,67640.0,407200.0,35424.0,33.91188645771733,3.533412182140745,2012.0,1106.0,16.98213714975674,62.93902482332469,3.384092253104672,44.636309875813126,4.7619751626256654
Los Angeles,28580.0,821600.0,47116.0,23.77886634009797,3.6703988803358993,2871.0,1330.0,18.13352222418984,62.900655215158494,19.989503149055285,47.270818754373686,3.3659902029391184
Los Angeles,29510.0,854200.0,90538.0,10.155879362927822,3.5106743476787527,2962.0,1727.0,4.235772858992539,73.7468401257784,25.74381565570993,57.76008132836326,1.843442900711623
Los Angeles,12328.0,406900.0,47120.0,15.77709279688514,2.311810512654121,1966.0,1163.0,3.586258965647414,75.74556436391092,4.647955872809864,72.98020765736534,3.1148604802076574
Los Angeles,29090.0,735100.0,85971.0,10.23375730491578,3.3482296321760057,2779.0,1460.0,4.884265637916782,69.13750344447506,22.58508078377449,48.8415262976968,1.347542110690959
Los Angeles,63193.0,627200.0,64267.0,15.25643663063947,3.959299289478265,2452.0,1342.0,9.726490473263675,68.41118623232944,15.514376592344089,46.72511195860301,2.7629642523697244
Los Angeles,45873.0,556400.0,54729.0,18.00187474113313,4.6192749547664205,2362.0,1137.0,7.277199074074074,77.3292824074074,11.357443376277985,20.41941883024873,1.6676476358642338
Los Angeles,99443.0,391100.0,35981.0,30.275635288557265,3.1133413111028427,1990.0,1137.0,10.697261663286003,72.06135902636917,3.530665808553644,27.951690918415576,3.4492121114608367
Los Angeles,40567.0,959400.0,104578.0,8.191387088027215,2.9063031528089334,3263.0,2132.0,1.868556701030928,77.16770986745213,25.73766854832746,61.90253161436636,0.3032021100894816
