City,ActualHouseValue,RandomForestPredictedHouseValue,Lat,Lng
Savoy,185700.0,178505.0,42.6,-73.02
Sheffield,312200.0,317445.0,42.1,-73.37
Southfield,383900.0,364112.0,42.08,-73.24
Stockbridge,406300.0,325036.0,42.29,-73.31
West Stockbridge,378700.0,308229.0,42.29,-73.37
Williamstown,297900.0,265652.0,42.6,-73.3
Greenfield,189600.0,183966.0,42.63,-72.59
Ashfield,273000.0,260858.0,42.53,-72.81
Athol,154000.0,170953.0,42.6,-72.2
Bernardston,239200.0,254189.0,42.69,-72.58
Charlemont,227600.0,216797.0,42.6,-72.9
Colrain,205400.0,165159.0,42.7,-72.7
Conway,322300.0,386555.0,42.51,-72.7
Deerfield,306500.0,285377.0,42.54,-72.62
Erving,208400.0,184267.0,42.61,-72.43
Millers Falls,194000.0,166484.0,42.57,-72.49
Monroe Bridge,108000.0,147101.0,42.72,-72.95
Montague,269200.0,277237.0,42.55,-72.51
Gill,247900.0,245434.0,42.64,-72.51
New Salem,254900.0,243908.0,42.4,-72.3
Northfield,249000.0,216510.0,42.67,-72.45
Orange,160900.0,159378.0,42.6,-72.3
Petersham,271800.0,259933.0,42.5,-72.2
Rowe,195000.0,160553.0,42.7,-72.92
Royalston,230700.0,223970.0,42.67,-72.19
Shelburne Falls,239100.0,253065.0,42.6,-72.8
South Deerfield,279500.0,289638.0,42.47,-72.61
Sunderland,282000.0,260738.0,42.47,-72.55
Turners Falls,186000.0,181979.0,42.59,-72.54
Warwick,211100.0,224402.0,42.67,-72.34
Wendell,208300.0,197008.0,42.55,-72.41
Fitchburg,183400.0,208469.0,42.59,-71.81
Ashburnham,230600.0,263365.0,42.65,-71.92
Ashby,245600.0,275450.0,42.67,-71.84
Ayer,296000.0,290926.0,42.56,-71.57
Baldwinville,167900.0,184746.0,42.6,-72.09
Gardner,175200.0,182985.0,42.59,-71.99
Groton,440700.0,469652.0,42.62,-71.58
Harvard,568300.0,598820.0,42.5,-71.58
Hubbardston,249400.0,258046.0,42.48,-72.01
Leominster,231700.0,246814.0,42.52,-71.77
Littleton,401500.0,463287.0,42.54,-71.49
Lunenburg,285300.0,317495.0,42.59,-71.72
Pepperell,326100.0,333855.0,42.67,-71.59
Shirley,328700.0,333119.0,42.58,-71.64
Templeton,207500.0,228614.0,42.54,-72.07
Townsend,263600.0,301028.0,42.66,-71.7
Westminster,274600.0,284433.0,42.56,-71.91
West Townsend,275700.0,311500.0,42.67,-71.75
Winchendon,188100.0,188309.0,42.66,-72.05
Auburn,246100.0,276129.0,42.2,-71.85
Berlin,379600.0,428273.0,42.38,-71.63
Blackstone,267800.0,284575.0,42.04,-71.53
Boylston,363100.0,366788.0,42.35,-71.72
Brookfield,224300.0,251827.0,42.2,-72.1
Charlton,280400.0,270914.0,42.13,-71.97
Clinton,248100.0,278024.0,42.41,-71.69
East Brookfield,246500.0,245088.0,42.21,-72.05
Douglas,291600.0,298708.0,42.05,-71.75
Fiskdale,325700.0,362361.0,42.11,-72.11
Grafton,363800.0,382542.0,42.2,-71.68
Holden,297100.0,314988.0,42.34,-71.86
Holland,214300.0,205927.0,42.06,-72.17
Jefferson,284900.0,308164.0,42.39,-71.87
Lancaster,340400.0,341672.0,42.47,-71.67
Leicester,223900.0,234523.0,42.24,-71.92
Millbury,263200.0,271411.0,42.19,-71.78
Millville,298000.0,303564.0,42.04,-71.58
New Braintree,270700.0,245127.0,42.32,-72.13
Northborough,389600.0,440758.0,42.32,-71.63
Northbridge,338300.0,319009.0,42.14,-71.64
North Brookfield,238200.0,225253.0,42.27,-72.08
North Grafton,334900.0,362267.0,42.23,-71.69
North Oxford,189400.0,267311.0,42.17,-71.89
Oxford,240000.0,230414.0,42.12,-71.85
Princeton,381700.0,450332.0,42.46,-71.89
Rochdale,258400.0,269829.0,42.2,-71.91
Rutland,281800.0,296379.0,42.38,-71.97
Shrewsbury,394100.0,370276.0,42.29,-71.71
Southbridge,188200.0,200329.0,42.07,-72.04
South Grafton,365700.0,352895.0,42.18,-71.68
Spencer,252100.0,232201.0,42.25,-71.99
Sterling,340500.0,320946.0,42.44,-71.78
Sturbridge,266000.0,315401.0,42.1,-72.08
Upton,407900.0,397552.0,42.18,-71.6
Uxbridge,277700.0,293339.0,42.06,-71.64
Webster,211800.0,200673.0,42.06,-71.85
Dudley,252700.0,237329.0,42.06,-71.94
Westborough,432000.0,462552.0,42.27,-71.61
West Boylston,268200.0,267028.0,42.36,-71.78
West Brookfield,222700.0,218303.0,42.23,-72.18
Whitinsville,261000.0,277488.0,42.13,-71.66
Sutton,349100.0,314426.0,42.14,-71.76
Worcester,225400.0,256268.0,42.27,-71.85
Worcester,183400.0,189444.0,42.25,-71.84
Worcester,209700.0,220337.0,42.25,-71.76
Worcester,198300.0,200880.0,42.29,-71.8
Worcester,215400.0,238220.0,42.31,-71.8
Worcester,173100.0,183139.0,42.23,-71.79
Worcester,157600.0,108238.0,42.26,-71.8
